creatorid,post_id,title,caption,likes,thumbnail_url,url,date_utc,typename,caption_hashtags,is_video
hydrationceo,C3OWyHJrByB,,"Rhode peptide lip balm got a LOT of hype but how does it stack up to all the greats we’ve seen this week? 👀 

#rhodepeptideliptreatment #rhodelipbalm #rhodeliptreatment #lipbalm #lipbalmaddict #lipbalmcollection",2507,posts\2024-02-11_22-40-58_UTC.jpg,posts\2024-02-11_22-40-58_UTC.mp4,2024-02-11 22:40:58,GraphVideo,"['rhodepeptideliptreatment', 'rhodelipbalm', 'rhodeliptreatment', 'lipbalm', 'lipbalmaddict', 'lipbalmcollection']",True
hydrationceo,C3L0dPmrIG3,,"I am SCREAMING this ole henrikson pout preserve is INSANE 🤌🤌🤌🤌🤌 

#lipbalm #poutpreserve #olehenriksonlipbalm #lipbalmaddict #lipbalmcollection #lipbalmreview #olehenriksonpoutpreserve",2988,posts\2024-02-10_23-02-42_UTC.jpg,posts\2024-02-10_23-02-42_UTC.mp4,2024-02-10 23:02:42,GraphVideo,"['lipbalm', 'poutpreserve', 'olehenriksonlipbalm', 'lipbalmaddict', 'lipbalmcollection', 'lipbalmreview', 'olehenriksonpoutpreserve']",True
hydrationceo,C3JB9o1J6lm,,"It’s day 5 and we’re almost done with the official test - laneige lip balm is up to bat 🏏 

#laneigelipbalm #laneigeglowybalm #laneigebalm #lipbalm #lipbalmaddict #lipbalmcollection #lipbalmreview #honestreview",3759,posts\2024-02-09_21-02-56_UTC.jpg,posts\2024-02-09_21-02-56_UTC.mp4,2024-02-09 21:02:56,GraphVideo,"['laneigelipbalm', 'laneigeglowybalm', 'laneigebalm', 'lipbalm', 'lipbalmaddict', 'lipbalmcollection', 'lipbalmreview', 'honestreview']",True
hydrationceo,C3GMdVbLAtC,,"yall sold out this inkey list lip balm… but why??? 👀 

#inkeylistlipbalm ##inkeylisttripeptidelipbalm #lipbalm #lipbalmaddict #lipbalmreview #skincare #honestreview",3186,posts\2024-02-08_18-36-58_UTC.jpg,posts\2024-02-08_18-36-58_UTC.mp4,2024-02-08 18:36:58,GraphVideo,"['inkeylistlipbalm', 'inkeylisttripeptidelipbalm', 'lipbalm', 'lipbalmaddict', 'lipbalmreview', 'skincare', 'honestreview']",True
hydrationceo,C3DZDDgru4K,,"elf has been KILLING IT lately but how do their $4 squeeze me balms perform against the big dogs? 👄

#elfsqueezemelipbalm #lipbalm #lipbalmaddict #lipbalmcollection #lipbalmreview #skintok #liproutine",5572,posts\2024-02-07_16-29-15_UTC.jpg,posts\2024-02-07_16-29-15_UTC.mp4,2024-02-07 16:29:15,GraphVideo,"['elfsqueezemelipbalm', 'lipbalm', 'lipbalmaddict', 'lipbalmcollection', 'lipbalmreview', 'skintok', 'liproutine']",True
hydrationceo,C3BAp-VJx7I,,"Let’s get into the naturium lip balms 👀 

#lipbalm #lipbalmreview #naturiumlipbalm #lipbalmcollection #lipbalmaddict",2648,posts\2024-02-06_18-17-40_UTC.jpg,posts\2024-02-06_18-17-40_UTC.mp4,2024-02-06 18:17:40,GraphVideo,"['lipbalm', 'lipbalmreview', 'naturiumlipbalm', 'lipbalmcollection', 'lipbalmaddict']",True
hydrationceo,C2_DeIEr19b,,"Summer fridays lip balm gets all the hype for a reason 👏👏👏 

#lipbalm #lipbalmaddict #lipbalmcollection #summerfridayslipbalm #summerfridays #viralmakeup",5897,posts\2024-02-06_00-04-04_UTC.jpg,posts\2024-02-06_00-04-04_UTC.mp4,2024-02-06 00:04:04,GraphVideo,"['lipbalm', 'lipbalmaddict', 'lipbalmcollection', 'summerfridayslipbalm', 'summerfridays', 'viralmakeup']",True
hydrationceo,C27lnPbrnYH,,"I live for an easy smokey halo eye ❤️‍🔥 

#eyeshadow #eyeshadowpalette #makeuptutorial #haloeye #smokeyeye #smokeyeyeshadow #smokeyeyetutorial #tutorial #pookie #browneyes #browneyeshadow",1315,posts\2024-02-04_15-50-33_UTC.jpg,posts\2024-02-04_15-50-33_UTC.mp4,2024-02-04 15:50:33,GraphVideo,"['eyeshadow', 'eyeshadowpalette', 'makeuptutorial', 'haloeye', 'smokeyeye', 'smokeyeyeshadow', 'smokeyeyetutorial', 'tutorial', 'pookie', 'browneyes', 'browneyeshadow']",True
hydrationceo,C24upZUL5ar,,"Are you team drugstore or team high end? 🤔 

#targetmakeup #targetmusthaves #makeup #affordablemakeup #drugstoremakeup #drugstoremakeupmusthaves #affordablebeauty",4040,posts\2024-02-03_13-06-50_UTC.jpg,posts\2024-02-03_13-06-50_UTC.mp4,2024-02-03 13:06:50,GraphVideo,"['targetmakeup', 'targetmusthaves', 'makeup', 'affordablemakeup', 'drugstoremakeup', 'drugstoremakeupmusthaves', 'affordablebeauty']",True
hydrationceo,C22UrByLYfJ,,"Oh you thought it was NPR? 🤨 

#meme #sephora #greenscreen #tiktokmeme #memes #sephorashopping #killthenoise",2169,posts\2024-02-02_14-42-00_UTC.jpg,posts\2024-02-02_14-42-00_UTC.mp4,2024-02-02 14:42:00,GraphVideo,"['meme', 'sephora', 'greenscreen', 'tiktokmeme', 'memes', 'sephorashopping', 'killthenoise']",True
